,PLAYER_ID,LEAGUE_ID,ORGANIZATION_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,203112.0,00,0.0,139.0,66.0,25.1,3.6,6.0,0.602,0.0,0.1,0.429,2.5,3.6,0.708,2.2,3.8,6.0,0.6,0.7,1.3,1.5,2.6,9.8
0,203500.0,00,0.0,32.0,32.0,23.4,3.1,5.5,0.571,0.0,0.0,,1.0,2.2,0.443,2.8,3.5,6.3,0.6,0.7,2.0,1.1,1.6,7.2
0,1628389.0,00,0.0,38.0,38.0,30.1,4.5,7.5,0.599,0.0,0.0,0.0,4.1,6.2,0.653,3.1,4.9,8.0,0.8,0.7,1.5,1.7,2.6,13.0
0,201167.0,00,0.0,104.0,103.0,32.7,5.0,10.9,0.457,2.0,5.4,0.373,2.8,3.6,0.781,0.6,2.8,3.5,1.9,0.6,0.2,2.0,2.1,14.8
0,202332.0,00,0.0,111.0,71.0,21.0,3.5,6.1,0.574,0.0,0.0,,2.3,3.2,0.729,2.3,5.5,7.7,0.6,0.5,2.3,1.2,2.1,9.4
0,200746.0,00,0.0,53.0,53.0,30.2,5.2,8.9,0.586,0.0,0.0,,3.0,4.7,0.649,3.4,4.8,8.2,0.6,1.3,1.8,1.6,2.7,13.5
0,1628386.0,00,0.0,33.0,33.0,32.2,5.4,9.6,0.566,0.0,0.2,0.0,2.5,4.5,0.564,3.0,5.4,8.5,0.8,0.6,1.5,2.5,2.1,13.4
0,2754.0,00,0.0,67.0,62.0,31.4,5.5,11.5,0.477,0.8,2.2,0.347,3.5,5.2,0.682,1.7,3.7,5.5,2.9,2.0,0.8,2.8,2.9,15.3
0,202329.0,00,0.0,62.0,60.0,30.1,5.0,10.6,0.476,0.4,1.7,0.238,3.9,5.7,0.687,3.3,6.1,9.4,1.4,1.2,1.3,2.9,2.8,14.4
0,1626147.0,00,0.0,98.0,45.0,24.1,2.9,6.8,0.43,1.0,2.8,0.357,2.0,2.7,0.752,0.8,2.7,3.5,1.8,0.6,0.9,1.3,1.4,8.9
0,203937.0,00,0.0,71.0,70.0,31.6,4.3,9.4,0.452,0.5,1.4,0.375,3.1,4.3,0.736,1.7,7.0,8.7,5.0,1.8,0.8,2.6,1.9,12.2
0,201583.0,00,0.0,66.0,66.0,33.0,6.3,13.1,0.484,1.8,4.7,0.396,4.2,5.0,0.841,2.7,6.3,9.0,1.0,0.5,0.5,1.8,2.5,18.7
0,1628387.0,00,0.0,29.0,29.0,13.0,2.0,3.5,0.564,0.0,0.0,,0.8,1.5,0.535,1.4,2.6,4.0,0.2,0.2,1.2,0.8,2.5,4.7
0,2546.0,00,0.0,35.0,35.0,36.4,7.9,17.5,0.453,1.6,4.7,0.337,4.8,6.8,0.706,2.9,7.1,10.0,2.2,1.6,0.9,2.2,2.2,22.2
0,1628384.0,00,0.0,50.0,50.0,17.4,2.7,4.8,0.563,0.5,1.5,0.365,0.9,1.8,0.522,1.4,2.1,3.5,0.8,1.0,0.9,1.1,1.7,6.8
0,2772.0,00,0.0,25.0,23.0,31.6,4.3,10.0,0.426,0.7,3.0,0.237,2.3,4.5,0.504,2.4,4.0,6.5,2.1,1.7,0.4,3.2,2.8,11.6
0,201589.0,00,0.0,78.0,46.0,21.9,4.7,8.7,0.541,0.0,0.2,0.118,1.8,2.7,0.676,2.2,3.3,5.5,0.6,0.7,1.4,1.6,2.8,11.3
0,201571.0,00,0.0,73.0,73.0,36.5,5.4,12.2,0.443,1.6,4.1,0.402,4.4,5.5,0.808,0.6,2.3,2.9,6.2,1.4,0.0,3.0,1.9,16.9
0,202337.0,00,0.0,68.0,68.0,34.9,6.5,13.6,0.48,1.1,2.6,0.421,5.2,5.8,0.893,2.0,6.2,8.1,1.8,0.9,0.8,2.1,2.2,19.4
0,1628407.0,00,0.0,69.0,69.0,28.8,6.1,13.5,0.449,1.3,4.1,0.312,3.1,4.2,0.733,1.2,3.8,5.0,1.6,1.0,0.1,2.1,1.9,16.5
0,1627758.0,00,0.0,125.0,120.0,30.4,4.2,9.6,0.433,1.9,5.2,0.369,2.8,3.5,0.801,0.8,3.4,4.2,2.8,1.3,0.6,1.4,1.7,13.1
0,1627735.0,00,0.0,35.0,24.0,28.8,2.9,6.5,0.439,1.2,2.8,0.439,2.4,3.0,0.802,0.5,3.7,4.1,4.4,1.4,0.1,1.9,2.5,9.4
0,1628366.0,00,0.0,36.0,36.0,35.1,5.3,9.5,0.551,2.2,5.4,0.412,1.8,2.7,0.673,0.9,5.1,6.0,7.6,1.8,0.8,2.5,1.8,14.6
0,200826.0,00,0.0,113.0,112.0,33.3,6.9,17.1,0.404,2.3,7.0,0.321,4.2,5.5,0.764,0.8,3.0,3.9,6.4,1.6,0.0,3.8,2.6,20.3
0,203084.0,00,0.0,75.0,73.0,29.3,5.9,13.6,0.431,1.5,4.4,0.349,3.1,4.3,0.734,2.0,3.5,5.5,1.3,0.9,0.4,1.9,1.9,16.4
0,203115.0,00,0.0,70.0,59.0,32.9,5.7,12.0,0.471,1.1,3.6,0.299,2.7,3.7,0.733,1.7,4.8,6.5,2.9,1.5,0.6,2.3,2.2,15.2
0,201573.0,00,0.0,30.0,30.0,35.7,5.8,12.6,0.458,2.0,4.8,0.407,6.2,7.4,0.839,0.4,2.3,2.7,4.0,1.0,0.1,3.0,2.2,19.7
0,203382.0,00,0.0,122.0,86.0,22.0,3.2,5.9,0.546,0.0,0.0,0.333,2.3,3.2,0.698,1.7,3.6,5.4,0.3,0.3,0.8,1.2,2.4,8.7
0,203145.0,00,0.0,140.0,103.0,26.3,3.7,8.3,0.447,0.7,2.1,0.334,2.0,3.5,0.581,1.4,3.2,4.6,2.7,1.8,0.5,2.3,2.2,10.1
0,203078.0,00,0.0,37.0,37.0,34.2,4.7,10.6,0.445,1.7,5.0,0.339,3.6,4.7,0.769,1.4,5.4,6.7,2.2,1.4,0.8,2.1,2.1,14.8
0,1627736.0,00,0.0,34.0,33.0,29.8,5.4,11.6,0.471,1.6,4.2,0.387,3.1,3.8,0.813,1.3,4.0,5.3,1.5,0.9,0.2,1.7,2.2,15.6
0,201563.0,00,0.0,33.0,33.0,31.5,9.3,17.5,0.532,1.1,2.9,0.379,6.5,8.5,0.774,4.0,8.4,12.4,1.2,1.3,1.6,2.9,2.6,26.2
0,1628395.0,00,0.0,26.0,26.0,11.6,1.6,3.7,0.442,0.3,1.2,0.281,0.5,0.8,0.65,0.7,2.5,3.2,0.6,0.3,0.4,0.7,1.5,4.1
0,1627761.0,00,0.0,101.0,100.0,36.1,5.7,12.6,0.457,1.2,3.8,0.312,3.1,4.9,0.628,1.4,5.3,6.7,3.6,1.4,0.8,2.5,2.5,15.7
0,1627733.0,00,0.0,38.0,3.0,12.9,1.6,3.7,0.423,0.7,2.0,0.338,0.6,0.8,0.719,0.8,1.7,2.5,0.7,0.5,0.8,0.6,2.3,4.4
0,201976.0,00,0.0,70.0,67.0,34.1,4.1,9.7,0.42,2.0,5.2,0.382,2.8,3.9,0.73,1.2,4.4,5.5,2.8,1.5,0.4,2.0,2.3,13.0
0,203920.0,00,0.0,69.0,53.0,25.4,3.0,5.7,0.531,0.0,0.0,,2.8,4.2,0.668,3.1,4.7,7.8,0.8,0.6,3.1,1.2,2.2,8.9
0,204028.0,00,0.0,135.0,75.0,20.7,3.3,5.3,0.614,0.0,0.0,0.0,1.8,3.3,0.555,2.0,2.7,4.7,0.3,0.6,1.1,1.2,3.1,8.4
0,202339.0,00,0.0,37.0,35.0,30.3,3.9,8.4,0.462,1.3,3.5,0.383,2.2,3.3,0.667,0.5,2.6,3.1,2.9,1.4,0.3,3.0,2.2,11.3
0,203505.0,00,0.0,106.0,80.0,25.7,3.3,7.7,0.429,0.5,1.8,0.277,2.1,3.0,0.704,1.0,2.5,3.5,2.0,1.0,0.1,2.0,1.7,9.3
0,101106.0,00,0.0,68.0,68.0,32.7,6.6,10.9,0.603,0.2,0.5,0.361,3.2,4.7,0.674,3.5,7.6,11.1,2.3,0.7,1.6,2.7,2.3,16.6
0,1627762.0,00,0.0,130.0,91.0,28.8,3.8,7.2,0.528,0.3,0.7,0.371,3.6,5.0,0.713,3.2,6.9,10.1,0.7,0.6,1.4,2.0,2.3,11.4
0,1626164.0,00,0.0,38.0,0.0,21.5,3.6,7.6,0.47,1.5,3.7,0.411,1.4,1.7,0.828,0.4,1.6,2.0,1.1,0.4,0.1,1.0,1.5,10.0
0,202344.0,00,0.0,134.0,134.0,28.4,5.1,9.2,0.559,0.2,0.5,0.324,2.4,3.9,0.624,3.0,4.9,7.9,1.7,1.1,1.9,1.9,2.3,12.9
0,202340.0,00,0.0,34.0,32.0,29.5,4.7,10.8,0.432,1.2,3.3,0.375,1.1,1.9,0.545,1.0,1.9,2.9,2.1,1.3,0.5,1.5,2.4,11.6
0,1628396.0,00,0.0,38.0,38.0,14.6,2.7,4.7,0.573,0.0,0.0,,1.7,2.8,0.619,2.6,2.6,5.1,0.6,0.3,0.6,0.7,1.8,7.1
0,201147.0,00,0.0,108.0,106.0,27.3,4.0,8.2,0.48,0.9,2.6,0.356,2.5,3.6,0.708,1.3,3.0,4.3,2.8,1.6,0.4,2.3,2.2,11.3
0,1627763.0,00,0.0,136.0,109.0,30.6,4.4,10.3,0.43,1.4,3.7,0.365,3.1,3.5,0.876,0.6,3.5,4.1,2.5,0.9,0.2,1.5,1.8,13.3
0,201166.0,00,0.0,115.0,110.0,32.7,4.3,10.1,0.43,1.8,4.8,0.374,2.7,3.2,0.834,0.7,2.7,3.5,4.1,1.1,0.1,2.6,2.3,13.1
0,1628415.0,00,0.0,109.0,109.0,28.9,5.4,11.4,0.472,1.2,3.4,0.362,2.8,3.5,0.794,1.6,2.9,4.5,2.6,0.9,0.5,2.1,2.9,14.8
0,1626148.0,00,0.0,144.0,106.0,29.2,3.6,8.4,0.428,1.5,3.8,0.403,2.1,2.8,0.751,1.0,3.8,4.8,1.6,0.7,0.2,1.6,1.8,10.8
0,1627759.0,00,0.0,34.0,34.0,27.6,4.8,11.1,0.431,0.9,3.0,0.294,4.2,6.4,0.654,1.1,4.3,5.4,2.0,0.8,0.6,3.1,3.2,14.6
0,203485.0,00,0.0,101.0,95.0,32.6,4.1,9.5,0.429,0.6,2.1,0.305,2.8,3.8,0.741,0.7,3.5,4.2,5.8,1.7,0.5,3.0,1.9,11.6
0,1628425.0,00,0.0,136.0,136.0,25.6,2.9,5.8,0.504,0.9,2.1,0.451,1.4,1.9,0.77,1.4,3.4,4.8,2.2,1.0,0.4,1.5,2.2,8.2
0,1628418.0,00,0.0,69.0,69.0,25.3,4.4,7.5,0.592,0.4,1.1,0.373,3.0,4.1,0.718,2.1,4.1,6.2,1.2,0.6,1.2,2.0,2.9,12.2
0,203493.0,00,0.0,100.0,53.0,24.6,3.6,8.2,0.439,1.9,4.9,0.387,0.9,1.2,0.72,1.6,3.4,5.0,1.7,0.9,0.2,0.9,1.2,9.9
0,202692.0,00,0.0,68.0,67.0,30.9,6.2,12.6,0.495,0.7,2.2,0.313,5.9,7.3,0.804,2.2,3.6,5.8,2.4,1.1,0.4,2.3,2.4,19.0
0,202710.0,00,0.0,106.0,69.0,29.6,3.7,7.2,0.508,0.3,0.9,0.383,4.3,5.6,0.773,2.3,3.1,5.5,1.7,1.1,0.5,1.0,1.7,12.0
0,202779.0,00,0.0,68.0,40.0,26.0,2.9,6.4,0.443,0.8,2.2,0.36,1.2,1.7,0.687,0.8,2.3,3.0,2.8,1.1,0.0,2.0,1.6,7.7
0,203484.0,00,0.0,64.0,63.0,33.0,5.3,12.7,0.415,2.3,6.9,0.339,2.9,3.9,0.752,1.3,4.8,6.1,1.5,1.9,0.4,1.6,2.2,15.8
0,203477.0,00,0.0,132.0,83.0,29.4,4.8,10.7,0.45,2.3,5.5,0.419,3.6,4.5,0.803,0.6,2.2,2.8,2.9,1.2,0.1,2.4,1.8,15.5
0,201960.0,00,0.0,134.0,89.0,24.5,4.5,8.4,0.535,0.2,0.7,0.281,2.1,3.5,0.604,2.4,3.6,6.0,1.6,1.1,0.4,1.3,2.3,11.2
0,1713.0,00,0.0,103.0,82.0,26.0,4.7,8.5,0.547,1.0,2.6,0.368,2.0,2.8,0.705,1.8,2.7,4.5,1.9,1.1,0.8,1.2,1.8,12.3
0,203487.0,00,0.0,66.0,40.0,25.4,2.7,6.8,0.398,0.6,2.1,0.304,2.2,3.2,0.679,0.9,2.6,3.5,5.2,2.0,0.4,2.3,1.8,8.2
0,1626161.0,00,0.0,105.0,70.0,24.5,3.3,5.6,0.593,0.0,0.0,,1.4,2.8,0.508,2.4,3.9,6.2,0.9,1.1,2.2,1.2,2.3,8.0
0,201596.0,00,0.0,110.0,96.0,28.5,4.0,8.3,0.486,1.6,3.9,0.419,2.5,3.2,0.767,0.3,2.5,2.8,3.8,2.6,0.4,2.4,2.4,12.2
0,201163.0,00,0.0,59.0,52.0,31.1,5.1,11.4,0.445,0.8,2.6,0.303,2.0,3.0,0.659,1.9,5.2,7.1,1.2,0.7,1.5,1.8,2.9,12.9
0,1627737.0,00,0.0,34.0,34.0,24.9,5.3,10.0,0.531,0.6,1.8,0.35,2.6,3.8,0.685,2.5,2.9,5.6,0.8,0.9,1.6,4.1,2.0,13.8
0,203546.0,00,0.0,133.0,133.0,28.7,5.1,10.6,0.484,2.6,6.0,0.424,1.6,2.0,0.81,0.5,2.4,2.9,2.2,1.2,0.2,2.1,2.1,14.4
0,203903.0,00,0.0,93.0,75.0,31.7,5.1,11.6,0.44,1.0,3.2,0.322,4.2,5.2,0.805,0.8,2.5,3.3,2.7,0.9,0.3,2.7,2.3,15.4
0,201954.0,00,0.0,142.0,104.0,29.2,4.0,8.3,0.475,1.2,2.7,0.435,2.5,2.9,0.851,0.4,1.8,2.3,4.1,1.6,0.1,2.4,1.4,11.5
0,2555.0,00,0.0,142.0,130.0,27.4,6.0,10.7,0.562,0.2,0.5,0.359,2.5,4.0,0.624,2.7,5.3,8.0,1.8,1.1,1.7,2.4,2.9,14.8
0,201144.0,00,0.0,39.0,39.0,31.6,4.1,7.9,0.518,0.5,1.8,0.304,2.6,3.7,0.694,0.7,2.7,3.4,6.1,2.2,0.3,2.2,1.5,11.3
0,1626192.0,00,0.0,139.0,123.0,32.3,3.7,8.2,0.45,1.9,5.0,0.386,1.2,1.5,0.777,1.0,4.9,5.9,1.8,0.7,0.5,1.0,1.7,10.5
0,1626188.0,00,0.0,143.0,99.0,28.2,3.7,8.6,0.432,1.7,4.4,0.375,1.9,2.2,0.853,0.4,2.3,2.7,3.6,1.1,0.1,1.4,1.8,11.0
0,1628429.0,00,0.0,91.0,91.0,32.9,4.9,11.1,0.44,1.5,4.0,0.373,4.0,5.6,0.704,1.2,4.1,5.3,2.1,1.3,0.9,2.1,2.0,15.2
0,204022.0,00,0.0,123.0,66.0,19.8,3.2,5.3,0.601,0.0,0.0,0.5,1.9,2.8,0.663,2.8,3.6,6.4,0.5,0.4,0.9,0.9,2.0,8.3
0,202326.0,00,0.0,38.0,37.0,23.5,5.4,9.7,0.558,0.0,0.2,0.167,4.3,7.1,0.604,4.1,5.8,9.9,1.0,1.0,1.8,2.1,3.2,15.1
0,203496.0,00,0.0,118.0,112.0,30.0,5.3,11.1,0.476,1.5,3.7,0.422,2.7,3.4,0.802,2.6,4.8,7.4,1.2,1.5,1.3,2.3,3.0,14.8
0,203459.0,00,0.0,98.0,97.0,34.7,5.4,12.2,0.446,2.1,5.6,0.382,2.7,3.3,0.819,0.9,4.8,5.7,2.2,0.9,0.6,1.9,1.7,15.7
0,2037.0,00,0.0,17.0,16.0,33.9,6.2,15.0,0.412,1.9,5.9,0.327,2.4,3.0,0.784,0.4,2.4,2.8,4.5,1.1,0.9,3.1,1.1,16.6
0,202348.0,00,0.0,65.0,42.0,29.3,5.6,12.4,0.455,1.7,4.4,0.384,2.6,3.3,0.765,1.0,3.1,4.1,2.6,1.2,0.2,2.2,1.6,15.5
0,203109.0,00,0.0,72.0,52.0,30.2,5.2,10.6,0.492,1.4,4.1,0.35,2.7,4.0,0.683,2.1,5.4,7.6,1.8,1.9,0.9,1.0,2.5,14.6
0,201967.0,00,0.0,139.0,104.0,27.2,3.7,7.1,0.524,0.0,0.0,0.333,2.2,3.2,0.693,2.5,3.4,5.9,1.0,1.2,0.8,1.8,2.8,9.6
0,203552.0,00,0.0,141.0,120.0,30.9,4.8,11.2,0.431,2.3,5.9,0.394,2.9,3.5,0.827,0.6,2.2,2.8,2.1,1.2,0.2,1.6,1.8,14.9
0,201939.0,00,0.0,104.0,103.0,32.6,8.4,17.9,0.467,4.0,9.7,0.412,4.6,5.3,0.876,0.8,3.8,4.5,3.7,2.1,0.3,3.0,2.4,25.3
0,203584.0,00,0.0,125.0,57.0,16.9,2.4,6.1,0.389,2.0,5.2,0.386,0.5,0.7,0.782,0.5,1.6,2.1,0.4,0.7,0.1,0.6,1.3,7.3
0,203076.0,00,0.0,40.0,40.0,32.0,5.3,8.4,0.623,0.1,0.5,0.15,3.6,5.1,0.709,3.0,7.4,10.4,1.3,1.4,4.7,1.0,2.0,14.2
0,1627738.0,00,0.0,35.0,16.0,18.6,3.4,5.7,0.598,0.0,0.0,,0.7,1.1,0.605,2.1,3.4,5.5,0.7,0.3,1.8,0.9,2.3,7.5
0,202334.0,00,0.0,61.0,25.0,22.2,3.4,6.3,0.548,0.0,0.0,,2.3,3.7,0.623,2.4,5.3,7.7,0.7,0.4,2.1,1.4,1.9,9.2
0,201942.0,00,0.0,35.0,35.0,33.4,5.5,10.5,0.523,0.2,1.0,0.167,2.7,4.2,0.646,2.4,3.3,5.7,1.5,0.9,0.4,2.1,2.1,13.9
0,203473.0,00,0.0,51.0,49.0,22.7,3.0,5.8,0.52,0.0,0.1,0.0,1.1,1.7,0.614,2.3,4.0,6.4,0.5,0.9,1.7,1.5,3.1,7.1
0,1626155.0,00,0.0,113.0,81.0,27.9,4.4,8.9,0.494,1.3,3.6,0.348,2.0,2.8,0.695,1.6,3.4,5.0,1.3,0.6,0.5,1.0,1.2,12.1
0,203521.0,00,0.0,136.0,133.0,36.4,4.3,10.5,0.415,2.1,5.6,0.378,3.4,4.0,0.86,0.8,2.6,3.4,5.6,1.1,0.1,2.5,1.9,14.2
0,2736.0,00,0.0,37.0,32.0,31.1,5.7,11.9,0.475,1.1,3.0,0.36,2.6,3.7,0.71,2.2,4.7,6.9,1.8,1.3,1.1,2.2,2.2,15.1
0,1627767.0,00,0.0,27.0,1.0,7.5,1.2,2.1,0.569,0.0,0.0,,0.6,1.0,0.556,0.6,1.9,2.5,0.0,0.3,0.9,0.6,1.4,3.0
0,203476.0,00,0.0,102.0,82.0,27.3,3.3,6.1,0.545,0.0,0.0,0.333,1.7,2.7,0.64,3.0,4.9,7.9,1.2,1.0,2.6,1.6,2.7,8.3
0,203915.0,00,0.0,86.0,86.0,30.1,3.4,8.0,0.42,1.3,3.5,0.386,4.9,5.9,0.83,0.5,2.9,3.3,2.6,1.1,0.3,1.8,2.1,13.0
0,1628416.0,00,0.0,75.0,75.0,30.0,4.6,10.0,0.455,2.1,5.0,0.416,2.9,3.9,0.732,1.1,2.8,3.9,1.8,0.8,0.1,1.7,1.8,14.1
0,1628422.0,00,0.0,97.0,97.0,29.6,5.0,10.5,0.473,2.0,5.1,0.395,1.6,1.9,0.822,1.4,4.2,5.6,1.2,0.7,0.2,1.1,1.8,13.5
0,1628408.0,00,0.0,70.0,70.0,24.0,4.0,10.1,0.398,0.7,2.7,0.277,1.6,2.8,0.579,0.9,3.0,3.9,2.4,1.3,0.3,2.4,2.6,10.4
0,203083.0,00,0.0,34.0,30.0,28.4,4.6,8.6,0.538,0.0,0.1,0.0,0.8,2.6,0.295,3.4,4.2,7.6,0.4,0.8,2.7,1.5,2.2,10.0
0,201162.0,00,0.0,130.0,130.0,36.4,5.3,10.5,0.504,0.9,2.5,0.365,4.4,6.0,0.731,2.9,4.3,7.2,3.0,1.4,0.3,2.1,1.9,15.9
0,1627739.0,00,0.0,95.0,82.0,31.6,4.5,9.9,0.45,0.8,2.2,0.354,3.1,4.5,0.693,1.1,4.0,5.1,5.8,2.2,0.4,3.3,2.9,12.8
0,201142.0,00,0.0,35.0,35.0,35.9,8.7,18.5,0.473,2.3,5.8,0.404,6.0,7.3,0.816,3.0,8.1,11.1,1.3,1.9,1.9,2.8,2.0,25.8
0,1627740.0,00,0.0,33.0,33.0,33.5,5.9,13.2,0.446,0.9,3.2,0.288,4.3,5.8,0.749,2.2,7.6,9.7,1.8,0.8,1.5,2.4,2.5,17.0
0,201961.0,00,0.0,115.0,112.0,28.5,5.4,11.6,0.463,2.0,5.0,0.397,2.0,2.5,0.809,1.1,3.0,4.1,2.2,0.9,0.1,1.5,1.5,14.7
0,203954.0,00,0.0,28.0,28.0,23.1,3.8,6.1,0.626,0.0,0.2,0.0,3.5,5.1,0.685,,,8.1,1.4,0.9,2.6,2.4,3.4,11.0
0,203898.0,00,0.0,34.0,34.0,35.7,4.4,10.6,0.411,0.9,2.5,0.353,3.4,4.4,0.765,0.8,2.6,3.4,5.5,2.1,0.2,1.7,2.0,12.9
0,203516.0,00,0.0,67.0,66.0,31.0,4.5,9.0,0.493,1.5,4.1,0.354,2.8,3.6,0.788,1.6,3.8,5.4,2.4,1.7,1.0,2.5,2.4,13.2
0,1628393.0,00,0.0,54.0,54.0,29.1,5.7,12.7,0.448,1.0,2.5,0.407,4.2,5.1,0.818,0.6,3.2,3.8,5.8,1.5,0.1,2.7,2.4,16.6
0,201936.0,00,0.0,37.0,35.0,29.0,6.2,13.6,0.455,0.9,3.4,0.274,3.7,5.2,0.711,1.3,4.1,5.4,3.9,2.1,0.8,3.6,2.4,17.1
0,202702.0,00,0.0,136.0,122.0,29.1,5.8,10.1,0.569,0.0,0.1,0.25,3.2,5.6,0.583,4.4,7.9,12.3,0.9,1.7,1.8,2.2,3.1,14.8
0,202324.0,00,0.0,36.0,35.0,27.5,5.0,8.1,0.611,0.0,0.0,0.0,2.5,4.0,0.629,3.0,5.4,8.4,1.0,0.9,2.1,2.5,2.6,12.4
0,1627770.0,00,0.0,101.0,101.0,35.9,5.5,12.9,0.426,1.4,4.1,0.345,5.1,6.2,0.822,0.7,3.7,4.3,7.8,1.6,0.2,3.5,2.8,17.5
0,101109.0,00,0.0,101.0,100.0,33.9,4.1,9.7,0.423,1.7,4.6,0.375,2.6,3.5,0.731,0.7,3.4,4.1,6.9,1.9,0.3,3.6,2.3,12.5
0,1627812.0,00,0.0,137.0,137.0,32.8,4.6,10.8,0.432,2.0,5.0,0.399,3.2,3.9,0.83,0.6,2.6,3.2,4.6,0.8,0.1,2.3,1.7,14.5
0,1627827.0,00,0.0,134.0,91.0,28.6,3.6,8.7,0.411,1.4,3.8,0.361,2.1,3.2,0.657,2.6,4.5,7.1,1.9,0.8,0.7,1.8,2.4,10.7
0,1628368.0,00,0.0,36.0,36.0,29.6,5.9,12.4,0.478,0.5,1.9,0.246,4.3,5.9,0.739,0.6,3.4,3.9,4.6,1.5,0.2,2.4,2.5,16.7
0,101112.0,00,0.0,133.0,119.0,27.7,5.3,9.5,0.562,0.0,0.2,0.261,2.8,3.7,0.759,2.8,4.6,7.3,1.3,0.6,1.9,1.4,2.8,13.5
0,1628365.0,00,0.0,25.0,25.0,35.7,8.4,17.6,0.476,2.1,5.0,0.413,4.4,6.7,0.649,1.3,4.4,5.7,5.9,1.6,1.2,3.2,2.5,23.2
0,204038.0,00,0.0,133.0,132.0,35.5,4.9,11.3,0.438,2.6,6.1,0.426,2.5,3.1,0.821,1.0,3.5,4.5,2.2,1.3,0.5,1.2,2.5,15.0
0,200752.0,00,0.0,64.0,59.0,29.8,5.0,10.8,0.461,0.9,2.3,0.378,2.8,3.8,0.721,1.9,4.0,5.9,1.8,1.3,1.7,2.2,2.3,13.6
0,202331.0,00,0.0,63.0,63.0,33.9,5.1,11.4,0.447,1.9,4.9,0.396,3.4,4.2,0.803,1.9,4.8,6.7,2.4,2.0,0.9,2.7,2.8,15.5
0,201959.0,00,0.0,105.0,104.0,32.7,4.8,8.2,0.58,0.0,0.0,,2.9,4.6,0.629,2.9,5.6,8.5,1.4,0.7,2.4,2.5,3.1,12.4
0,1628385.0,00,0.0,26.0,26.0,11.5,1.7,3.0,0.577,0.0,0.0,,0.5,0.9,0.5,1.6,2.3,3.8,0.3,0.3,0.7,0.7,2.2,3.9
